px,py,vx,vy,px_measured,py_measured,gt_px,gt_py,gt_vx,gt_vy
8.13363,-6.32616,2.37077,0.81481,8.13749,-6.14586,8.15,-6.15,2.72928,1.81952
8.19793,-6.26376,2.16078,0.778508,8.21488,-6.01843,8.25,-6.05,1.99977,1.99976
8.32674,-6.16516,2.22541,0.828341,8.33626,-5.94674,8.35,-5.95,1.99977,1.99976
8.47506,-6.1104,2.3394,0.806843,8.50318,-5.89335,8.5,-5.9,2.72796,0.909326
8.62556,-6.02035,2.40236,0.834983,8.65894,-5.86309,8.65,-5.85,2.72796,0.909321
8.70335,-5.95293,2.17511,0.799111,8.77185,-5.74314,8.75,-5.75,1.81776,1.81775
8.84333,-5.8496,2.23391,0.856039,8.85444,-5.64273,8.85,-5.65,1.81774,1.81773
8.9203,-5.78896,2.07957,0.828263,9.02394,-5.6024,8.95,-5.55,1.99657,1.99656
9.04448,-5.68293,2.13382,0.903012,9.05088,-5.45385,9.05,-5.45,1.99654,1.99655
9.18534,-5.62091,2.25763,0.91081,9.04088,-5.29691,9.2,-5.4,2.72728,0.909094
9.32837,-5.5154,2.30796,0.974837,9.34223,-5.32623,9.35,-5.35,2.72727,0.90909
9.40188,-5.43996,2.08521,0.94576,9.39579,-5.21659,9.45,-5.25,1.81816,1.81815
9.53671,-5.32826,2.1339,1.02437,9.55303,-5.13194,9.55,-5.15,1.81813,1.81813
9.62232,-5.25847,1.98697,0.996665,9.75019,-5.14652,9.65,-5.05,1.82036,1.82036
9.7506,-5.13978,2.03097,1.08807,9.7586,-4.93134,9.75,-4.95,1.82036,1.82037
9.83157,-5.06271,1.88965,1.06814,9.9198,-4.86941,9.85,-4.85,1.81578,1.81577
9.95287,-4.94215,1.92623,1.16251,9.95641,-4.74358,9.95,-4.75,1.81575,1.81575
10.0219,-4.85558,1.77148,1.14761,10.0029,-4.54771,10.05,-4.6,1.82039,2.7306
10.1411,-4.7107,1.81043,1.28267,10.1428,-4.45119,10.15,-4.45,1.8204,2.7306
10.2176,-4.61593,1.7089,1.29051,10.1981,-4.26556,10.25,-4.3,1.81769,2.72652
10.3408,-4.45046,1.74973,1.46081,10.3644,-4.16342,10.35,-4.15,1.81768,2.7265
10.4591,-4.35763,1.80908,1.5116,10.5985,-4.12247,10.45,-4.05,1.81792,1.81792
10.5717,-4.19389,1.81904,1.66317,10.5415,-3.9454,10.55,-3.95,1.8179,1.8179
10.6672,-4.08601,1.78086,1.69485,10.7092,-3.85166,10.65,-3.85,1.81903,1.81904
10.7758,-3.93078,1.78128,1.82106,10.7616,-3.75002,10.75,-3.75,1.81902,1.81903
10.8223,-3.8065,1.57097,1.81043,10.795,-3.60617,10.8,-3.6,0.909773,2.72931
10.9094,-3.64487,1.54606,1.93688,10.8527,-3.46164,10.85,-3.45,0.909764,2.72928
11.0088,-3.54054,1.6075,1.99596,10.9584,-3.30584,10.95,-3.3,1.99953,2.99928
11.0931,-3.36778,1.58437,2.14693,11.0447,-3.1561,11.05,-3.15,1.9995,2.99925
11.1374,-3.22389,1.40159,2.15965,11.1178,-2.98807,11.1,-3,0.907725,2.72317
11.211,-3.04259,1.35237,2.29311,11.1427,-2.86566,11.15,-2.85,0.907708,2.72314
11.2607,-2.89704,1.23821,2.32451,11.1491,-2.68183,11.2,-2.7,0.908929,2.72678
11.3227,-2.71153,1.17575,2.4503,11.2525,-2.55311,11.25,-2.55,0.908929,2.72678
